"code_commune_insee","nom_de_la_commune","code_postal","libelle_d_acheminement","ligne_5","_geopoint","latitude","longitude"
"01043","BEYNOST","01700","BEYNOST",,"45.8359445,4.99637935","45.8359445","4.99637935"
"01044","BILLIAT","01200","BILLIAT",,"46.077833150000004,5.76320825","46.077833150000004","5.76320825"
"01045","BIRIEUX","01330","BIRIEUX",,"45.950909,5.0400491","45.950909","5.0400491"
"01046","BIZIAT","01290","BIZIAT",,"46.2240275,4.93929445","46.2240275","4.93929445"
"01047","BLYES","01150","BLYES",,"45.844153000000006,5.251480300000001","45.844153000000006","5.251480300000001"
"01049","LA BOISSE","01120","LA BOISSE",,"45.8482725,5.02623935","45.8482725","5.02623935"
"01050","BOISSEY","01190","BOISSEY",,"46.372336649999994,4.9975179999999995","46.372336649999994","4.9975179999999995"
"01050","BOISSEY","01380","BOISSEY",,"46.372336649999994,4.9975179999999995","46.372336649999994","4.9975179999999995"
"01051","BOLOZON","01450","BOLOZON",,"46.197084149999995,5.470157","46.197084149999995","5.470157"
"01052","BOULIGNEUX","01330","BOULIGNEUX",,"46.02023855,4.9956875499999995","46.02023855","4.9956875499999995"
"01053","BOURG EN BRESSE","01000","BOURG EN BRESSE",,"46.20270155,5.2469113499999995","46.20270155","5.2469113499999995"
"01053","BOURG EN BRESSE","01000","BOURG EN BRESSE","BROU","46.20270155,5.2469113499999995","46.20270155","5.2469113499999995"
"01054","BOURG ST CHRISTOPHE","01800","BOURG ST CHRISTOPHE",,"45.88420815,5.13932565","45.88420815","5.13932565"
"01054","BOURG ST CHRISTOPHE","01800","BOURG ST CHRISTOPHE","MARFOZ","45.88420815,5.13932565","45.88420815","5.13932565"
"01056","BOYEUX ST JEROME","01640","BOYEUX ST JEROME",,"46.03564045,5.461589200000001","46.03564045","5.461589200000001"
"01057","BOZ","01190","BOZ",,"46.40887505,4.9165927499999995","46.40887505","4.9165927499999995"
"01058","BREGNIER CORDON","01300","BREGNIER CORDON",,"45.6405763,5.61736685","45.6405763","5.61736685"
"01060","BRENOD","01110","BRENOD",,"46.0790966,5.611630549999999","46.0790966","5.611630549999999"
"01061","BRENS","01300","BRENS",,"45.7162752,5.68999675","45.7162752","5.68999675"
"01062","BRESSOLLES","01360","BRESSOLLES",,"45.87135875,5.0984473","45.87135875","5.0984473"
"01062","BRESSOLLES","01360","BRESSOLLES","LA LECHERE","45.87135875,5.0984473","45.87135875","5.0984473"
"01063","BRION","01460","BRION",,"46.16890875,5.54767625","46.16890875","5.54767625"
"01064","BRIORD","01470","BRIORD",,"45.768019249999995,5.48315975","45.768019249999995","5.48315975"
"01065","BUELLAS","01310","BUELLAS",,"46.2116415,5.14677425","46.2116415","5.14677425"
"01065","BUELLAS","01310","BUELLAS","CORGENON","46.2116415,5.14677425","46.2116415","5.14677425"
"01066","LA BURBANCHE","01510","LA BURBANCHE",,"45.8628655,5.5480281","45.8628655","5.5480281"
"01067","CEIGNES","01430","CEIGNES",,"46.12579065,5.4957033","46.12579065","5.4957033"
"01068","CERDON","01450","CERDON",,"46.07500025,5.47546165","46.07500025","5.47546165"
"01069","CERTINES","01240","CERTINES",,"46.13366015,5.26384595","46.13366015","5.26384595"
"01071","CESSY","01170","CESSY",,"46.315603949999996,6.0820202","46.315603949999996","6.0820202"
"01072","CEYZERIAT","01250","CEYZERIAT",,"46.182176,5.31908775","46.182176","5.31908775"
"01073","CEYZERIEU","01350","CEYZERIEU",,"45.8367559,5.71966775","45.8367559","5.71966775"
"01074","CHALAMONT","01320","CHALAMONT",,"46.01487445,5.173466400000001","46.01487445","5.173466400000001"
"01075","CHALEINS","01480","CHALEINS",,"46.036131350000005,4.7999051","46.036131350000005","4.7999051"
"01076","CHALEY","01230","CHALEY",,"45.9506798,5.5405342","45.9506798","5.5405342"
"01077","CHALLES LA MONTAGNE","01450","CHALLES LA MONTAGNE",,"46.1237488,5.455973999999999","46.1237488","5.455973999999999"
"01078","CHALLEX","01630","CHALLEX",,"46.17647465,5.9735283","46.17647465","5.9735283"
"01079","CHAMPAGNE EN VALROMEY","01260","CHAMPAGNE EN VALROMEY",,"45.93166085,5.69210895","45.93166085","5.69210895"
"01079","CHAMPAGNE EN VALROMEY","01260","CHAMPAGNE EN VALROMEY","LILIGNOD","45.93166085,5.69210895","45.93166085","5.69210895"
"01079","CHAMPAGNE EN VALROMEY","01260","CHAMPAGNE EN VALROMEY","PASSIN","45.93166085,5.69210895","45.93166085","5.69210895"
"01080","CHAMPDOR CORCELLES","01110","CHAMPDOR CORCELLES","CHAMPDOR","46.037086,5.58824845","46.037086","5.58824845"
"01080","CHAMPDOR CORCELLES","01110","CHAMPDOR CORCELLES","CORCELLES","46.037086,5.58824845","46.037086","5.58824845"
"01081","CHAMPFROMIER","01410","CHAMPFROMIER",,"46.22637885,5.821597","46.22637885","5.821597"
"01082","CHANAY","01420","CHANAY",,"46.00240934999999,5.7674053","46.00240934999999","5.7674053"
"01083","CHANEINS","01990","CHANEINS",,"46.0947289,4.85165915","46.0947289","4.85165915"
"01084","CHANOZ CHATENAY","01400","CHANOZ CHATENAY",,"46.186846349999996,5.0301896","46.186846349999996","5.0301896"
"01085","LA CHAPELLE DU CHATELARD","01240","LA CHAPELLE DU CHATELARD",,"46.0682567,5.017402150000001","46.0682567","5.017402150000001"
"01087","CHARIX","01130","CHARIX",,"46.1893444,5.67728945","46.1893444","5.67728945"
"01088","CHARNOZ SUR AIN","01800","CHARNOZ SUR AIN",,"45.8741704,5.2256679","45.8741704","5.2256679"
"01089","CHATEAU GAILLARD","01500","CHATEAU GAILLARD",,"45.972340599999995,5.309075099999999","45.972340599999995","5.309075099999999"
"01090","CHATENAY","01320","CHATENAY",,"46.027635149999995,5.2085424499999995","46.027635149999995","5.2085424499999995"
"01092","CHATILLON LA PALUD","01320","CHATILLON LA PALUD",,"45.97569595,5.245995049999999","45.97569595","5.245995049999999"
"01093","CHATILLON SUR CHALARONNE","01400","CHATILLON SUR CHALARONNE",,"46.1264442,4.95494175","46.1264442","4.95494175"
"01094","CHAVANNES SUR REYSSOUZE","01190","CHAVANNES SUR REYSSOUZE",,"46.4402701,5.0069263500000005","46.4402701","5.0069263500000005"
"01095","NIVIGNE ET SURAN","01250","NIVIGNE ET SURAN","CHAVANNES SUR SURAN","46.28236455,5.4322756000000005","46.28236455","5.4322756000000005"
"01095","NIVIGNE ET SURAN","01250","NIVIGNE ET SURAN","GERMAGNAT","46.28236455,5.4322756000000005","46.28236455","5.4322756000000005"
"01096","CHAVEYRIAT","01660","CHAVEYRIAT",,"46.1991376,5.05343025","46.1991376","5.05343025"
"01098","CHAZEY BONS","01300","CHAZEY BONS",,"45.80074735,5.6678029","45.80074735","5.6678029"
"01098","CHAZEY BONS","01510","CHAZEY BONS","PUGIEU","45.80074735,5.6678029","45.80074735","5.6678029"
"01099","CHAZEY SUR AIN","01150","CHAZEY SUR AIN",,"45.893680950000004,5.2603738","45.893680950000004","5.2603738"
"01100","CHEIGNIEU LA BALME","01510","CHEIGNIEU LA BALME",,"45.82326515,5.6022404","45.82326515","5.6022404"
"01101","CHEVILLARD","01430","CHEVILLARD",,"46.108718999999994,5.581459049999999","46.108718999999994","5.581459049999999"
"01102","CHEVROUX","01190","CHEVROUX",,"46.38220535000001,4.95981445","46.38220535000001","4.95981445"
"01103","CHEVRY","01170","CHEVRY",,"46.28417735,6.04740325","46.28417735","6.04740325"
"01104","CHEZERY FORENS","01200","CHEZERY FORENS",,"46.22442345,5.86927415","46.22442345","5.86927415"
"01104","CHEZERY FORENS","01410","CHEZERY FORENS",,"46.22442345,5.86927415","46.22442345","5.86927415"
"01105","CIVRIEUX","01390","CIVRIEUX",,"45.9207867,4.8895398","45.9207867","4.8895398"
"01106","CIZE","01250","CIZE",,"46.20145785,5.449976250000001","46.20145785","5.449976250000001"
"01107","CLEYZIEU","01230","CLEYZIEU",,"45.90273045,5.43174145","45.90273045","5.43174145"
"01108","COLIGNY","01270","COLIGNY",,"46.38886335,5.3351617000000005","46.38886335","5.3351617000000005"
"01109","COLLONGES","01550","COLLONGES",,"46.1396665,5.9006899","46.1396665","5.9006899"
"01110","COLOMIEU","01300","COLOMIEU",,"45.7338347,5.626868699999999","45.7338347","5.626868699999999"
"01111","CONAND","01230","CONAND",,"45.8835545,5.47869315","45.8835545","5.47869315"
"01112","CONDAMINE","01430","CONDAMINE",,"46.10562145,5.559609249999999","46.10562145","5.559609249999999"
"01113","CONDEISSIAT","01400","CONDEISSIAT",,"46.1540977,5.08629165","46.1540977","5.08629165"
